Resultado,Pedra,Hora
"18.165,00",11,"
        12:07
      "
"17.712,00",8,"
        12:06
      "
"12.116,00",9,"
        12:06
      "
"15.675,00",3,"
        12:05
      "
"13.862,00",11,"
        12:05
      "
"19.458,00",4,"
        12:04
      "
"11.608,00",5,"
        12:04
      "
"11.727,00",4,"
        12:03
      "
"10.860,00",3,"
        12:03
      "
"13.371,00",10,"
        12:02
      "
"9.495,00",8,"
        12:02
      "
"6.857,00",9,"
        12:01
      "
"12.093,00",7,"
        12:01
      "
"13.884,00",2,"
        12:00
      "
"-151.060,00",0,"
        12:00
      "
"1.452,00",8,"
        11:59
      "
"8.184,00",10,"
        11:59
      "
"11.690,00",5,"
        11:58
      "
"5.759,00",7,"
        11:58
      "
"9.565,00",8,"
        11:57
      "
"19.857,00",8,"
        11:57
      "
"-156.856,00",0,"
        11:56
      "
"9.828,00",13,"
        11:56
      "
"13.115,00",5,"
        11:55
      "
"17.734,00",9,"
        11:55
      "
"8.332,00",10,"
        11:54
      "
"6.520,00",2,"
        11:54
      "
"7.796,00",14,"
        11:53
      "
"4.625,00",5,"
        11:53
      "
"14.539,00",10,"
        11:52
      "
"-133.123,00",0,"
        11:52
      "
"6.143,00",11,"
        11:51
      "
"12.448,00",1,"
        11:51
      "
"13.529,00",5,"
        11:50
      "
"19.611,00",14,"
        11:50
      "
"7.261,00",10,"
        11:49
      "
"7.475,00",4,"
        11:49
      "
"12.951,00",13,"
        11:48
      "
"11.760,00",2,"
        11:48
      "
"-164.082,00",0,"
        11:47
      "
"11.280,00",9,"
        11:47
      "
"10.101,00",3,"
        11:46
      "
"12.575,00",13,"
        11:46
      "
"11.962,00",10,"
        11:45
      "
"10.597,00",9,"
        11:45
      "
"11.318,00",3,"
        11:44
      "
"13.754,00",11,"
        11:44
      "
"12.312,00",8,"
        11:43
      "
